年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,GPS座標X,GPS座標
2016,8,1,17,0,臺南市,善化區,東關里,,中興路,,,,,,大同路,,,,,,,,,120.29044,23.13167
2016,8,1,14,1,臺南市,新營區,新南里,,復興路,,620,15,,,復興路,,,620巷,,,,,,120.29641,23.30644
2016,8,1,8,5,臺南市,善化區,坐駕里,,興華路,,,,,,,,,238-6號,,,,,,120.29826,23.12744
2016,8,1,14,45,臺南市,新化區,,,中正路,,,,,,太平街,,,,,,,,,120.30587,23.04021
2016,8,1,16,36,臺南市,新營區,民生里,,民治路,,183,,,,進修街,,,,,,,,,120.30604,23.30645
2016,8,1,17,46,臺南市,新營區,民生里,,進修街,,,,,,公園路,,,,,,,,,120.30671,23.3062
2016,8,1,14,50,臺南市,新市區,大社里,,,,,,,,,,,大社595號前,,,,,,120.31196,23.08915
2016,8,1,8,25,臺南市,官田區,官田里,,,,,,,,,,,臺一線與南165線路口,,,,,,120.32521,23.19229
2016,8,1,9,30,臺南市,後壁區,新東里,,,,,,,,,,,南74線9公里處,,,,,,120.33808,23.33077
2016,8,1,0,5,臺南市,白河區,秀佑里,,,,,,,,,,,172線約29.5公里處,,,,,,120.39421,23.34622
2016,8,1,17,45,臺南市,東山區,東山里,,,,,,,,,,,165線16.4公里處,,,,,,120.40685,23.3319
2016,8,1,11,29,臺南市,白河區,白河里,,,,,,,,,,,新起街與康樂路之路口附近,,,,,,120.41558,23.34747
2016,8,1,17,40,臺南市,東區,,,長榮路,三,30,,,,,,,,,,,,,120.45132,22.58416
2016,8,1,11,20,臺南市,東區,,,林森路,一,,,320,,,,,,,,,,,120.56465,22.54652
2016,8,1,9,0,臺南市,永康區,,,鹽行路,,,,,,鹽洲二街,,,,,,,,,120.71549,23.48977
2016,8,1,17,0,臺南市,永康區,,,小東路,,,,,,忠義街,,,,,,,,,120.74018,23.41875
2016,8,2,7,30,臺南市,七股區,玉成里,,,,,,,,,,,,臺17線,157,0,北,外車,120.13462,23.14456
2016,8,2,18,20,臺南市,安南區,,,本田路,,,,,,安明路,,,,,,,,,120.15834,23.04021
2016,8,2,18,51,臺南市,安平區,,,安北路,,,,231,,,,,,,,,,,120.1584,23.00223
2016,8,2,20,35,臺南市,安平區,,,國平路,,,,374,,,,,,,,,,,120.17138,22.99339
2016,8,2,9,30,臺南市,佳里區,建南里,,,,,,,,,,,成功路152號旁路肩,,,,,,120.17398,23.15141
2016,8,2,21,1,臺南市,佳里區,東寧里,,,,,,,,,,,延平路與義民街路口,,,,,,120.17681,23.16155
2016,8,2,10,40,臺南市,學甲區,新達里里,,,,,,,,,,,華宗路全聯超市入口處,,,,,,120.18293,23.23561
2016,8,2,8,15,臺南市,安南區,,,海佃路,二,725,,,,海環街,,,,,,,,,120.18297,23.04589
2016,8,2,15,2,臺南市,南區,,,中華西路,一,,,,,新忠路,,,,,,,,,120.18499,"22.979539,"
