區,系,項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
處,統,檢驗項目,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
別,代,飲用水水質標準,0.8,10.0,500,－－,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
,號,單位,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
三區,'0314,="大湖淨水場(Dahu)苗栗縣大湖鄉靜湖村水源地4號[0345064]{0314}<苗栗縣>",="0.13",="1.93",="247",="－－",="0.00023",="0.69",="0.10",="<5",="<1",="143",="7.5",="4.3",="37.2",="ND",="ND",="177",="<0.01",="ND",="1",="<1",="ND",="ND",="0.00106",="ND",="0.0135",="ND",="0.00292",="ND",="ND",="ND",="0.0227",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0113",="ND",="Y",
三區,'0322,="南庄淨水場(Nanjhuang)苗栗縣南庄鄉民生街71號[0344012]{0322}<苗栗縣>",="0.08",="0.88",="145",="－－",="0.00121",="0.68",="0.50",="<5",="<1",="88.8",="8.1",="7.0",="14.1",="ND",="<0.01",="97.3",="0.05",="0.005",="2",="<1",="0.00881",="ND",="ND",="ND",="0.0121",="ND",="ND",="ND",="ND",="ND",="0.0168",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.106",="ND",="Y",
三區,'0316,="中興淨水場(Jhongsing)苗栗縣銅鑼鄉中平村瑞興北街1號[0347031]{0316}<苗栗縣>",="0.15",="1.57",="323",="－－",="0.00016",="0.46",="0.10",="<5",="<1",="184",="7.4",="8.3",="57.5",="ND",="ND",="218",="0.02",="0.006",="<1",="<1",="ND",="ND",="0.00111",="ND",="0.00772",="ND",="ND",="ND",="ND",="0.00015",="0.0332",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00671",="ND",="Y",
四區,'0416,="卓蘭淨水場(Jhuolan)苗栗縣卓蘭鎮上新里23-2號[0448075]{0416}<苗栗縣>",="0.13",="1.44",="363",="－－",="ND",="0.48",="0.15",="<5",="<1",="157",="7.5",="3.1",="151",="ND",="ND",="265",="0.08",="ND",="<1",="<1",="ND",="ND",="ND",="ND",="0.00946",="ND",="0.00061",="ND",="ND",="ND",="0.0163",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0108",="ND",="Y",
四區,'0401,="豐原淨水場(Fongyuan)台中市豐原區豐勢路2段1200巷6號[0461018]{0401}<台中縣市>",="0.13",="0.63",="170",="<1",="0.00080",="0.71",="0.30",="<5",="<1",="82.0",="7.8",="3.4",="35.0",="ND",="ND",="112",="0.02",="ND",="<1",="<1",="0.00511",="0.00165",="ND",="0.00037",="ND",="ND",="0.00030",="ND",="ND",="0.00032",="0.00277",="0.00026",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.134",="ND",="Y",
四區,'0401,="鯉魚潭淨水場(Liyutan)台中市后里區三豐路352之1號[0463012]{0401}<台中縣市>",="0.14",="0.39",="221",="<1",="0.00097",="0.76",="0.15",="<5",="<1",="95.7",="7.7",="2.4",="81.9",="ND",="ND",="159",="ND",="ND",="<1",="<1",="0.00620",="ND",="ND",="ND",="0.00751",="ND",="0.00239",="ND",="0.00112",="ND",="0.00629",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0777",="ND",="Y",
四區,'0413,="霧峰淨水場(Wufong)台中市霧峰區民生路99巷7號[0451015]{0413}<台中縣市>",="0.13",="2.00",="320",="<1",="0.00080",="0.46",="0.15",="<5",="<1",="180",="7.3",="12.1",="51.7",="ND",="ND",="147",="ND",="ND",="<1",="<1",="0.00089",="ND",="ND",="ND",="0.00647",="ND",="0.0309",="ND",="ND",="0.00088",="0.00980",="0.00033",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0142",="ND",="Y",
四區,'0435,="大安淨水場(Daan)台中市大安區中山南路680號[0443089]{0435}<台中縣市>",="0.10",="1.81",="241",="<1",="0.00034",="0.51",="0.15",="<5",="<1",="114",="7.2",="9.2",="67.2",="ND",="ND",="162",="ND",="ND",="<1",="<1",="0.00017",="ND",="0.00106",="0.00035",="ND",="ND",="0.0202",="0.00166",="ND",="0.00053",="0.00348",="0.00020",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0103",="ND",="Y",
四區,'0428,="大肚淨水場(Dadu)台中市大肚區自由路268巷8號[0454034]{0428}<台中縣市>",="0.16",="3.49",="250",="－－",="ND",="0.55",="0.15",="<5",="<1",="76.5",="7.4",="36.8",="41.7",="ND",="ND",="96.0",="ND",="ND",="<1",="<1",="0.00144",="ND",="ND",="ND",="ND",="ND",="0.00168",="ND",="ND",="ND",="0.00139",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0188",="ND",="Y",
四區,'0407,="谷關淨水場(Guguan)台中市和平區東關路一段分校巷30號[0448066]{0407}<台中縣市>",="0.05",="0.29",="63.0",="－－",="0.00157",="0.51",="0.15",="<5",="<1",="35.3",="7.8",="2.7",="6.3",="ND",="ND",="35.3",="ND",="ND",="<1",="<1",="0.00345",="ND",="ND",="0.00044",="0.00505",="ND",="0.0379",="ND",="ND",="0.00020",="ND",="0.00025",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0202",="ND",="Y",
四區,'0415,="慶東淨水場(Cingdong)台中市東勢區東關路294號[0448020]{0415}<台中縣市>",="0.13",="1.22",="174",="－－",="0.00009",="0.48",="0.45",="<5",="<1",="88.2",="7.5",="3.5",="35.4",="ND",="ND",="117",="0.11",="ND",="1",="<1",="0.00071",="ND",="ND",="ND",="0.00721",="ND",="ND",="ND",="0.00077",="ND",="0.00400",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0609",="ND",="Y",
四區,'0417,="梨山淨水場(Lishan)台中市和平區梨山村復興路民生巷1之1號[0448039]{0417}<台中縣市>",="0.08",="0.26",="116",="－－",="ND",="0.33",="0.35",="<5",="<1",="75.3",="8.1",="1.3",="13.4",="ND",="ND",="81.8",="ND",="ND",="3",="<1",="0.00983",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00204",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0387",="ND",="Y",
四區,'0405,="新社淨水場(Sinshe)台中市新社鄉協成村華豐街193-1號[0448048]{0405}<台中縣市>",="0.04",="5.90",="122",="－－",="ND",="0.47",="0.20",="<5",="<1",="17.5",="6.8",="7.4",="24.3",="ND",="ND",="50.0",="ND",="ND",="<1",="<1",="0.00040",="ND",="0.00157",="ND",="0.0101",="ND",="ND",="ND",="ND",="0.00010",="0.0955",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0240",="ND",="Y",
四區,'0433,="集集淨水場(Jiji)南投縣集集鎮吳厝里水源巷1號[0447069]{0433}<南投縣>",="0.13",="0.47",="256",="<1",="0.00066",="0.47",="0.40",="<5",="<1",="123",="8.2",="2.2",="87.6",="ND",="ND",="186",="ND",="ND",="3",="<1",="0.00271",="ND",="0.00139",="ND",="ND",="ND",="0.00083",="0.00202",="ND",="0.00012",="0.00226",="0.00038",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.148",="ND",="Y",
四區,'0418,="埔里第三淨水場(Puli Third)南投縣埔里鎮中山路2段101號[0453037]{0418}<南投縣>",="0.11",="1.61",="106",="<1",="ND",="0.64",="0.20",="<5",="<1",="46.0",="6.7",="2.3",="21.2",="ND",="ND",="60.8",="0.02",="ND",="<1",="<1",="ND",="ND",="ND",="ND",="ND",="ND",="0.00097",="ND",="ND",="ND",="0.00125",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0105",="ND",="Y",
四區,'0423,="日月潭淨水場(Rihyuetan)南投縣魚池鄉水社村中山路62號[0453131]{0423}<南投縣>",="0.14",="0.44",="261",="<1",="0.00082",="0.58",="0.15",="<5",="<1",="124",="8.2",="2.5",="94.1",="ND",="ND",="195",="0.01",="ND",="2",="<1",="0.00032",="ND",="ND",="ND",="0.00557",="ND",="0.00143",="ND",="0.00128",="ND",="0.00458",="0.00017",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0572",="ND",="Y",
四區,'0448,="人倫淨水場(Renlun)南投縣信義鄉人和村民生巷82-5號[0447050]{0448}<南投縣>",="0.08",="0.89",="153",="－－",="0.00020",="0.50",="0.20",="<5",="<1",="86.6",="8.3",="3.1",="28.5",="ND",="ND",="108",="ND",="ND",="8",="<1",="0.00197",="ND",="0.00146",="ND",="0.0168",="ND",="ND",="ND",="ND",="ND",="0.00636",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0793",="ND",="Y",
四區,'0419,="大坪頂淨水場(Dapingding)南投縣埔里鎮西安路3段222-1號[0453055]{0419}<南投縣>",="0.11",="5.51",="99.5",="－－",="ND",="0.58",="0.40",="<5",="<1",="26.9",="7.0",="6.5",="5.3",="ND",="ND",="41.5",="0.09",="0.005",="2",="1",="0.00450",="ND",="ND",="ND",="0.00596",="ND",="0.00083",="ND",="0.00068",="ND",="0.0966",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0405",="ND",="Y",
四區,'0447,="民和淨水場(Minhe)南投縣水里鄉拔社埔段2-703地號[0447087]{0447}<南投縣>",="0.16",="0.63",="121",="－－",="0.00161",="0.48",="0.25",="<5",="<1",="59.5",="6.7",="2.5",="31.6",="ND",="ND",="66.4",="ND",="ND",="<1",="<1",="ND",="ND",="0.00221",="ND",="ND",="ND",="0.00067",="0.00129",="ND",="ND",="0.00993",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="Y",
四區,'0444,="坪頂淨水場(Pingding)南投縣竹山鎮坪頂里坪頂路坪頂淨水場[0446080]{0444}<南投縣>",="0.12",="2.47",="127",="－－",="0.00033",="0.40",="0.30",="<5",="<1",="59.5",="7.8",="3.9",="16.9",="ND",="ND",="74.2",="ND",="ND",="2",="<1",="0.00426",="ND",="ND",="ND",="0.0118",="ND",="0.00045",="ND",="ND",="ND",="0.0104",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0192",="ND",="Y",
四區,'0434,="信義淨水場(Sinyi)南投縣信義鄉明德村玉山路新開巷4號[0447023]{0434}<南投縣>",="0.16",="0.51",="278",="－－",="0.00080",="0.49",="0.30",="<5",="<1",="134",="8.3",="2.8",="87.8",="ND",="ND",="196",="ND",="ND",="1",="<1",="0.00626",="ND",="0.00273",="0.00036",="ND",="ND",="0.00038",="0.00117",="ND",="ND",="0.00627",="0.00038",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.117",="ND",="Y",
四區,'0429,="南崗淨水場(Nangang)南投縣南投市成功一路28號[0444022]{0429}<南投縣>",="0.12",="6.67",="197",="－－",="0.00008",="0.46",="0.40",="<5",="<1",="81.3",="6.9",="7.7",="39.7",="ND",="ND",="117",="ND",="ND",="1",="<1",="0.00122",="ND",="ND",="ND",="ND",="ND",="0.00060",="0.00139",="0.00084",="ND",="0.00103",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0439",="ND",="Y",
四區,'0439,="草屯第二淨水場(Caotun Second)南投縣草屯鎮芬草路1段275號[0445029]{0439}<南投縣>",="0.16",="5.76",="230",="－－",="ND",="0.42",="0.20",="<5",="<1",="94.9",="6.9",="13.8",="49.4",="ND",="ND",="134",="ND",="ND",="<1",="<1",="ND",="0.00243",="0.00102",="ND",="0.0306",="ND",="0.0450",="0.00225",="ND",="0.00049",="0.00240",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="Y",
四區,'0450,="大旗尾淨水場(Daciwei)南投縣國姓鄉大旗村大長路692號[0453073]{0450}<南投縣>",="0.16",="0.70",="231",="－－",="0.00031",="0.55",="0.20",="<5",="<1",="98.1",="8.0",="3.0",="78.6",="ND",="ND",="158",="0.03",="0.006",="2",="<1",="0.00211",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00556",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.120",="ND",="Y",
四區,'0445,="鹿谷淨水場(Lugu)南投縣鹿谷鄉中正1路93號[0446099]{0445}<南投縣>",="0.10",="1.52",="152",="－－",="0.00092",="0.47",="0.35",="<5",="<1",="89.9",="8.3",="4.6",="13.5",="ND",="ND",="96.6",="ND",="ND",="1",="<1",="0.00968",="ND",="0.00157",="ND",="ND",="ND",="0.00063",="ND",="ND",="0.00024",="0.00320",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00002",="ND",="ND",="ND",="ND",="ND",="0.0973",="ND",="Y",
四區,'0424,="德化淨水場(Dehua)南投縣魚池鄉巒大林區29林班地[0453113]{0424}<南投縣>",="0.11",="0.47",="266",="－－",="0.00026",="0.43",="0.20",="<5",="<1",="124",="8.1",="1.7",="91.4",="ND",="ND",="188",="<0.01",="ND",="9",="<1",="0.00192",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00205",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00019",="ND",="ND",="ND",="ND",="ND",="0.0408",="ND",="Y",
四區,'0449,="羅娜淨水場(Luonua)南投縣信義鄉羅娜村信筆巷4~2號[0447041]{0449}<南投縣>",="0.10",="0.28",="207",="－－",="0.00100",="0.50",="0.30",="<5",="<1",="130",="8.3",="2.4",="33.5",="ND",="ND",="146",="ND",="ND",="1",="<1",="0.00364",="ND",="0.00105",="0.00034",="0.00904",="ND",="0.00044",="0.00193",="ND",="ND",="0.0126",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.142",="ND",="Y",
四區,'0420,="春陽淨水場(Chunyang)南投縣仁愛鄉春陽段200-1地號[0453082]{0420}<南投縣>",="0.19",="0.66",="358",="－－",="0.00013",="0.56",="0.15",="<5",="<1",="216",="7.9",="4.1",="81.4",="ND",="ND",="263",="0.02",="ND",="1",="<1",="0.00153",="0.00169",="ND",="ND",="ND",="0.00186",="ND",="ND",="ND",="ND",="0.00293",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0259",="ND",="Y",
五區,'0519,="埤仔頭淨水場(Pizitou)雲林縣斗六市重光里榮譽路915號[0564074]{0519}<雲林縣>",="0.12",="5.10",="338",="<1",="0.00229",="0.48",="0.25",="<5",="<1",="117",="6.9",="11.3",="82.6",="ND",="ND",="196",="0.06",="ND",="1",="<1",="0.00468",="0.00066",="0.00036",="ND",="0.00527",="ND",="0.00090",="0.00217",="0.00093",="0.00001",="0.0108",="0.00010",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0303",="<0.001",="Y",
五區,'0519,="林內淨水場(Linnei)雲林縣林內鄉烏麻村長源180號[0564065]{0519}<雲林縣>",="0.11",="0.48",="339",="<1",="0.00219",="0.61",="0.25",="<5",="<1",="130",="7.9",="7.9",="104",="ND",="ND",="215",="0.05",="ND",="11",="<1",="0.00293",="ND",="0.00052",="ND",="0.00557",="ND",="0.00182",="0.00194",="0.00153",="0.00001",="0.00641",="0.00031",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0313",="ND",="Y",
五區,'0501,="蘭潭淨水場(Lantan)嘉義市小雅路53號[0561019]{0501}<嘉義縣市>",="0.12",="0.25",="253",="<1",="0.00176",="0.73",="0.35",="<5",="<1",="133",="8.0",="8.6",="58.8",="ND",="ND",="148",="0.06",="ND",="<1",="<1",="0.0204",="0.00029",="ND",="ND",="0.00163",="ND",="0.00131",="0.00073",="ND",="ND",="0.0171",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0257",="<0.001",="Y",
五區,'0501,="公園淨水場(Gonyuan)嘉義市民權東路46號[0561028]{0501}<嘉義縣市>",="0.12",="0.34",="266",="<1",="0.00117",="0.68",="0.25",="<5",="<1",="134",="8.0",="10.8",="60.4",="ND",="ND",="153",="0.07",="ND",="1",="<1",="0.0207",="ND",="ND",="ND",="0.00171",="ND",="0.00177",="0.00036",="ND",="ND",="0.0183",="0.00015",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0134",="<0.001",="Y",
五區,'0501,="水上淨水場(Shueishang)嘉義縣水上鄉龍德村三鎮路200號[0561037]{0501}<嘉義縣市>",="0.11",="0.37",="218",="<1",="0.00127",="0.68",="0.25",="<5",="<1",="107",="8.0",="11.5",="39.2",="ND",="ND",="128",="0.07",="ND",="6",="<1",="0.0246",="ND",="ND",="ND",="0.00084",="ND",="0.00086",="0.00041",="ND",="ND",="0.0143",="0.00012",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0233",="<0.001",="Y",
五區,'0509,="大埔淨水場(Dapu)嘉義縣大埔鄉大埔村大埔1號[0560030]{0509}<嘉義縣市>",="0.11",="0.42",="355",="－－",="0.00054",="0.54",="0.25",="<5",="<1",="192",="7.8",="6.5",="60.3",="ND",="ND",="224",="0.04",="ND",="1",="<1",="0.00830",="ND",="ND",="ND",="0.00220",="ND",="0.00133",="0.00046",="ND",="ND",="0.0120",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0301",="<0.001",="Y",
五區,'0505,="達邦淨水場(Dabang)嘉義縣阿里山鄉達邦村一鄰1號(達邦國小)後面[0560116]{0505}<嘉義縣市>",="0.06",="1.05",="178",="－－",="0.00047",="0.52",="0.40",="<5",="<1",="94.1",="8.0",="1.9",="27.1",="ND",="ND",="117",="0.04",="ND",="2",="<1",="0.00258",="0.00044",="ND",="ND",="0.00497",="ND",="0.00031",="0.00077",="ND",="ND",="0.0341",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0267",="<0.001",="Y",
五區,'0544,="阿里山淨水場(Alishan)嘉義縣阿里山鄉中正村61號[0560067]{0544}<嘉義縣市>",="0.03",="0.17",="67.4",="－－",="0.00061",="0.40",="0.30",="<5",="<1",="44.9",="8.0",="1.1",="5.7",="ND",="ND",="43.9",="0.03",="ND",="<1",="<1",="0.00371",="0.00030",="ND",="ND",="0.0758",="ND",="0.00112",="0.00042",="ND",="0.00001",="0.00632",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0170",="<0.001",="Y",
五區,'0545,="樂野淨水場(Leye)嘉義縣阿里山鄉樂野村9鄰237之1號[0560094]{0545}<嘉義縣市>",="0.03",="0.62",="80.3",="－－",="0.00050",="0.58",="0.30",="<5",="<1",="48.9",="8.0",="1.3",="4.3",="ND",="ND",="52.7",="0.05",="ND",="3",="<1",="0.00522",="0.00037",="ND",="ND",="0.249",="ND",="0.00137",="0.00076",="ND",="0.00007",="0.00403",="0.00003",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00005",="ND",="ND",="ND",="ND",="ND",="0.0194",="<0.001",="Y",
六區,'0601,="烏山頭淨水場(Wushantou)台南市官田區嘉南里68號[0663014]{0601}<台南縣市>",="0.16",="0.42",="189",="<1",="0.00030",="0.81",="0.35",="<5",="<1",="128",="7.6",="7.4",="35.5",="ND",="ND",="124",="0.05",="ND",="<1",="<1",="0.0179",="0.00067",="ND",="ND",="0.00083",="ND",="0.00081",="0.00064",="ND",="ND",="0.0121",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.103",="0.002",="Y",
六區,'0601,="潭頂淨水場(Tanting)台南市新市區潭頂里544號[0661010]{0601}<台南縣市>",="0.19",="0.54",="237",="<1",="0.00131",="0.71",="0.30",="<5",="<1",="142",="7.9",="14.6",="45.3",="0.02",="<0.01",="162",="0.04",="0.005",="<1",="<1",="0.0278",="0.00067",="ND",="ND",="0.00261",="ND",="0.00073",="0.00092",="ND",="0.00001",="0.0169",="0.00012",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.116",="<0.001",="Y",
六區,'0601,="南化淨水場(Nanhua)台南市南化區北寮里154號[0664011]{0601}<台南縣市>",="0.20",="0.19",="203",="<1",="0.00085",="0.78",="0.25",="<5",="<1",="138",="7.7",="6.4",="41.7",="0.01",="<0.01",="142",="0.04",="ND",="<1",="<1",="0.0174",="0.00063",="0.00021",="ND",="0.00091",="ND",="0.00084",="0.00102",="ND",="ND",="0.0188",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.115",="ND",="Y",
六區,'0608,="楠玉淨水場(Nanyu)台南市楠西區密枝里102-3號[0644015]{0608}<台南縣市>",="0.16",="0.48",="186",="－－",="0.00055",="0.64",="0.40",="<5",="<1",="129",="7.8",="7.6",="28.4",="0.01",="<0.01",="136",="0.04",="ND",="<1",="<1",="0.0112",="0.00066",="ND",="ND",="0.00209",="ND",="0.00105",="0.00065",="ND",="ND",="0.0135",="0.00006",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0938",="<0.001",="Y",
七區,'0701,="澄清湖淨水場(Chengching Lake)高雄市鳥松區大埤路32號[0762018]{0701}<高雄市>",="0.08",="0.51",="297",="<1",="0.00226",="0.59",="0.15",="<5",="<1",="105",="7.6",="11.3",="109",="0.02",="ND",="150",="ND",="ND",="<1",="<1",="0.00424",="0.00149",="0.00042",="ND",="0.00246",="ND",="0.00064",="0.00196",="ND",="ND",="0.0135",="0.00025",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.170",="0.003",="Y",
七區,'0701,="鳳山淨水場(Fongshan)高雄市小港區坪頂里天池路一號[0767031]{0701}<高雄市>",="0.08",="0.65",="300",="<1",="0.00183",="0.65",="0.20",="<5",="<1",="107",="7.6",="8.0",="120",="0.02",="ND",="141",="ND",="ND",="<1",="<1",="0.00593",="0.00095",="0.00042",="0.00012",="0.00209",="ND",="0.00119",="0.00172",="ND",="ND",="0.0129",="0.00027",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.144",="0.002",="Y",
七區,'0701,="坪頂淨水場(Pinding)高雄市大樹區小坪里小坪路128號[0764012]{0701}<高雄市>",="0.09",="0.46",="324",="<1",="0.00138",="0.70",="0.50",="<5",="<1",="138",="7.6",="12.8",="90.0",="0.02",="ND",="217",="ND",="ND",="<1",="<1",="0.0154",="0.00061",="0.00035",="ND",="0.00131",="ND",="0.00051",="0.00065",="0.00073",="0.00001",="0.0208",="0.00022",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.133",="ND",="Y",
七區,'0701,="拷潭淨水場(Kaotan)高雄市大寮區仁德路12號[0766016]{0701}<高雄市>",="0.07",="0.47",="247",="<1",="0.00255",="0.70",="0.20",="<5",="<1",="119",="7.2",="12.4",="58.1",="ND",="ND",="176",="ND",="ND",="<1",="<1",="0.0120",="0.00043",="0.00032",="ND",="0.00277",="ND",="0.00072",="0.00271",="0.00113",="ND",="0.0269",="0.00011",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0466",="ND",="Y",
