年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,10506C00020275,CZ91,10506CZ000669,2016,6,9,6,20,臺南市,仁德區,,,文賢路,一,,,702,,,,,,,,,,,,,,,0,1,0,7,1,5,50,14,9,1,4,4,5,7,4,4,9,4,4,1,26,21,C000,CZ00,1,2,120.23227,22.92743
10506,,CZ91,10506CZ002425,2016,6,26,16,5,臺南市,仁德區,,,,,,,,,,,,台一線南下機車迴轉道,,,,,,,,,,0,1,0,8,1,5,40,11,9,1,5,4,5,7,4,4,10,5,5,1,18,43,C000,CZ00,1,2,120.21836,22.92795
10506,,CR91,10506CR003593,2016,6,29,16,50,臺南市,南區,,,萬年五街,,,,,,,,,南A區3681號路燈桿前,,,,,,,,,,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,27,23,C000,CR00,1,2,120.18843,22.92883
10506,,CR91,10506CR003595,2016,6,28,9,38,臺南市,南區,,,明興路,,,,1081,,,,,,,,,,,,,,,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,3,4,5,1,17,23,C000,CR00,1,2,120.18557,22.92918
10506,10506C00020388,CZ91,10506CZ000849,2016,6,11,12,3,臺南市,仁德區,成功里,,,,,,,,,,,台86北上機車&#24315;轉道33000395路燈前,,,,,,,,,,0,3,0,6,1,7,40,11,8,1,3,4,5,7,4,4,6,5,5,1,17,23,C000,CZ00,1,2,120.22653,22.93058
10506,,CR91,10506CR003628,2016,6,30,10,30,臺南市,南區,,,萬年五街,,,,,,萬年六街,,,,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,C000,CR00,1,2,120.1885,22.93159
10506,10506C00020263,CZ00,10506CZ000993,2016,6,6,6,55,臺南市,龍崎區,石曹里,,,,,,,,,,,檳榔宅水泥橋,,,,,,,,,,0,1,0,8,1,5,40,14,9,1,4,4,5,7,4,4,10,5,5,2,18,23,C000,CZ00,1,2,120.40392,22.93206
10506,10506C00020189,CR91,10506CR001652,2016,6,6,7,15,臺南市,南區,,,灣裡路,,61,,,,,,,,,,,,,,,,,0,1,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,8,C000,CR00,1,2,120.18051,22.93278
10506,,CR91,10506CR003028,2016,6,30,7,35,臺南市,南區,,,萬年二街,,,,,,永南三街,,,,,,,,,,,,,0,2,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,C000,CR00,1,2,120.18675,22.93306
10506,,CR91,10506CR003026,2016,6,10,14,45,臺南市,南區,,,濱南路,,,,,,,,,往南(電燈桿97),,,,,,,,,,0,2,0,6,1,5,60,14,7,1,4,4,5,7,4,4,1,4,4,1,13,16,C000,CR00,1,2,120.17605,22.93709
